Is_top_5_League,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,1,1,14,117,22,6774,0,0,3989000
0,0,1,1,72,321,31,6585,1,0,3989000
1,1,2,1,0,31,18,6820,0,0,3989000
0,1,2,0,0,354,35,6550,0,0,3989000
1,1,2,1,0,54,21,6828,1,0,3989000
1,1,2,1,0,61,20,7136,0,0,3989000
1,1,1,1,10,165,26,7257,0,0,3989000
1,1,0,1,85,414,33,6873,0,0,3989000
1,1,1,1,69,317,29,6795,0,0,3989000
1,1,1,1,3,321,29,7149,0,0,3989000
1,1,0,1,14,73,20,6358,1,0,3989000
0,0,2,1,36,623,37,6949,0,0,3947000
1,1,2,0,2,187,25,6645,0,0,3942000
1,1,2,0,3,347,37,6300,0,0,3942000
1,1,2,1,33,250,27,6974,0,0,3942000
1,1,2,0,0,485,33,6881,0,0,3942000
1,1,0,1,28,149,27,7540,0,0,3942000
0,1,0,0,26,275,29,6503,0,0,3942000
1,1,1,0,37,186,24,7536,0,0,3942000
1,1,2,1,0,30,20,7265,0,0,3942000
1,1,1,0,34,189,27,6958,0,0,3942000
0,1,1,0,44,199,26,6563,1,0,3942000
1,1,2,0,0,65,22,7363,0,0,3942000
1,1,2,1,0,210,26,6742,0,0,3942000
1,1,2,1,6,93,22,6911,0,0,3942000
1,1,0,0,5,283,27,6485,0,0,3942000
0,1,2,0,1,154,25,6521,0,0,3942000
1,1,2,1,9,306,27,6873,0,0,3942000
1,1,1,1,3,253,27,6787,0,0,3942000
1,1,2,1,34,261,32,6500,0,0,3942000
